childid,mhhinco_1992,mhhinco_1993,mhhinco_1994,mhhinco_1996,mhhinco_1998,mhhinco_2000,mhhinco_2002,mhhinco_2004,mhhinco_2006,mhhinco_2008,mhhinco_2010,mhhinco_2012,mhhinco_2014,mhhinco_2016,mhhinco_2018,mhhinco_1982,mhhinco_1983,mhhinco_1984,mhhinco_1985,mhhinco_1986,mhhinco_1987,mhhinco_1988,mhhinco_1989,mhhinco_1990,mhhinco_1991,mhhinco_1981,mhhinco_1979,mhhinco_1980
201,D,65000,D,D,51000,45000,50450,55000,17500,7000,16800,E,E,E,E,,,,,,,,,,,,,
202,,,D,D,51000,45000,50450,55000,17500,7000,16800,E,E,E,E,,,,,,,,,,,,,
301,12000,D,23000,85000,43700,E,E,,E,E,,E,E,E,E,17000,9789,9750,19300,30000,21500,31000,16443,28656,24200,,,
302,12000,D,23000,85000,43700,64000,E,,E,E,,E,E,E,E,,9789,9750,19300,30000,21500,31000,16443,28656,24200,,,
303,12000,D,23000,85000,43700,64000,D,,E,E,,E,E,E,E,,,,,30000,21500,31000,16443,28656,24200,,,
401,30575,33000,,R,53000,,,,,,,,,E,E,12119,2068,6064,5448,10290,D,21320,22110,6992,,14000,,
403,,,,R,53000,,,,,,,,,E,E,,,,,,,,,,,,,
801,22500,18000,E,E,E,E,E,E,E,E,E,E,E,E,E,25700,27761,22005,D,D,29000,D,29276,24200,26480,23706,7227,11876
802,22500,18000,22747,27500,E,E,E,E,E,E,E,E,E,E,E,25700,27761,22005,D,D,29000,D,29276,24200,26480,23706,7227,11876
803,22500,18000,22747,27500,D,D,E,E,E,E,E,E,E,E,E,25700,27761,22005,D,D,29000,D,29276,24200,26480,,,
1001,81000,25650,53000,,,,,,,,,,,,,25000,21300,13000,18000,,,30000,,D,47600,,,
1002,81000,25650,53000,,,,,,,,,,,,,,,,,,,30000,,D,47600,,,
1201,,85800,90350,,,,,,,,,,,,,,,,,,,,,,,,,
1202,,85800,90350,,,,,,,,,,,,,,,,,,,,,,,,,
1601,75500,72200,69000,83500,90350,81200,86400,134636,132000,E,E,E,E,E,E,,,,,,,,47676,72750,70580,,,
1602,,72200,69000,83500,90350,81200,86400,134636,132000,66000,119000,E,E,E,E,,,,,,,,,,,,,
1603,,,,83500,90350,81200,86400,134636,132000,66000,119000,90000,E,E,E,,,,,,,,,,,,,
1901,426,1560,6766,,0,,,,E,,E,,,,,,,,,,6000,17000,2382,7236,8676,,,
2001,70600,77410,82020,80400,84400,96400,91000,124600,126000,144600,,E,E,E,,,,,,,,,,68600,58500,,,
2501,48400,83000,94000,98000,145000,332808,390662,408473,479983,213000,E,E,E,E,E,,,,,,,,,65100,62000,,,
2502,,83000,94000,98000,145000,332808,390662,408473,479983,213000,440692,E,E,E,E,,,,,,,,,,,,,
2701,63023,72931,69971,84252,146829,146126,390662,408473,E,E,E,E,E,E,E,,,,,,36213,39902,46708,58214,57507,,,
2702,63023,72931,69971,84252,146829,146126,390662,408473,479983,265874,E,E,E,E,E,,,,,,,,,,57507,,,
3001,40000,23192,24800,24800,30680,35000,E,E,E,E,E,E,E,E,E,11500,,D,10207,D,16300,I,1800,17006,21000,,,
3002,40000,23192,24800,24800,30680,35000,35000,36000,E,E,E,E,E,E,E,,,,,D,16300,I,1800,17006,21000,,,
3003,40000,23192,24800,24800,30680,35000,35000,36000,113797,48000,E,E,E,E,E,,,,,,,,,,21000,,,
3501,48000,D,55030,D,56050,,,,,,,,,,,,,,,,,,R,48150,48400,,,
3502,48000,D,55030,D,56050,,,,,,,,,,,,,,,,,,,,,,,
3701,88000,160097,81500,75100,77600,98200,115500,124400,46000,128400,E,E,E,E,E,,,,,,,,96800,98200,99500,,,
4301,D,13284,8844,16080,17459,17448,E,E,E,E,E,E,E,E,E,16300,D,D,D,D,4000,D,2714,8064,10232,,,
4302,D,13284,8844,16080,17459,17448,2680,4239,0,E,E,E,E,E,E,,,,,,,D,2714,8064,10232,,,
4303,,,,16080,17459,17448,2680,4239,0,5676,4800,8016,E,E,E,,,,,,,,,,,,,
4304,,,,,,17448,2680,4239,0,5676,4800,8016,9252,26120,E,,,,,,,,,,,,,
4401,48000,50500,,R,D,E,E,E,E,E,E,E,E,E,E,30815,22000,25200,27000,28000,40000,60200,50250,48100,50200,I,,
4402,48000,50500,,R,D,115000,120000,E,E,E,E,E,E,E,E,,,,27000,28000,40000,60200,50250,48100,50200,,,
4601,,D,D,R,90000,D,D,120100,132000,D,,,,,,,,,,,,,,,,,,
4602,,,,R,90000,D,D,120100,132000,D,,,,,,,,,,,,,,,,,,
4901,55334,59868,57823,72443,84731,88924,E,E,E,E,E,E,E,E,E,36650,42100,37589,35200,40908,51500,49500,50900,52518,57200,,,
4902,55334,59868,57823,72443,84731,88924,95500,98500,E,E,E,E,E,E,E,,,,,40908,51500,49500,50900,52518,57200,,,
5001,64080,60700,47760,49000,54040,65520,56500,E,E,E,E,E,E,E,E,,,,17022,19940,22100,59150,51900,41054,42160,,,
5002,64080,60700,47760,49000,54040,65520,56500,70000,E,E,E,E,E,E,E,,,,,,,59150,51900,41054,42160,,,
5003,64080,60700,47760,49000,54040,65520,56500,70000,0,100440,E,E,E,E,E,,,,,,,,51900,41054,42160,,,
5004,64080,60700,47760,49000,54040,65520,56500,70000,0,100440,E,E,E,E,E,,,,,,,,51900,41054,42160,,,
5005,64080,60700,47760,49000,54040,65520,56500,70000,0,100440,104500,E,E,E,E,,,,,,,,,,,,,
5701,32400,48000,D,D,E,E,E,E,E,E,E,E,E,E,E,D,D,D,12450,15525,18080,27000,30000,31000,34600,I,23289,33125
5702,,,,D,D,42520,1200,75560,67000,102000,61712,46833,E,E,E,,,,,,,,,,,,,
5703,,,,,D,42520,1200,75560,67000,102000,61712,46833,39544,E,E,,,,,,,,,,,,,
5801,71850,74902,79650,87300,100000,E,,E,E,E,E,E,E,E,E,I,35700,40400,41700,41800,48800,59750,65750,62500,66600,25700,,
5802,71850,74902,79650,87300,100000,120000,,E,E,E,E,E,E,E,E,,,40400,41700,41800,48800,59750,65750,62500,66600,,,
5803,71850,74902,79650,87300,100000,120000,,77000,101300,E,E,E,E,E,E,,,,,,,59750,65750,62500,66600,,,
6101,61852,74400,79349,81862,94574,116000,151100,165500,153100,165000,122750,E,E,E,E,,,,,,,,,,,,,
6102,,,79349,81862,94574,116000,151100,165500,153100,165000,122750,E,E,E,E,,,,,,,,,,,,,
6103,,,,,,,,165500,153100,165000,122750,121515,140000,130000,160000,,,,,,,,,,,,,
6201,,,,52500,57810,34060,51000,81009,55950,37400,46034,59000,E,E,E,,,,,,,,,,,,,
6202,,,,,57810,34060,51000,81009,55950,37400,46034,59000,58000,E,E,,,,,,,,,,,,,
6203,,,,,,,51000,81009,55950,37400,46034,59000,58000,65000,65000,,,,,,,,,,,,,
6801,,160097,189918,974100,244343,332808,390662,408473,479983,D,440692,E,E,E,E,,,,,,,,,,,,,
6802,,,189918,974100,244343,332808,390662,408473,479983,D,440692,497763,E,E,E,,,,,,,,,,,,,
6803,,,,974100,244343,332808,390662,408473,479983,D,440692,497763,E,E,E,,,,,,,,,,,,,
7501,,75000,91500,78150,87250,80500,R,105250,120000,130000,195000,E,E,E,E,,,,,,,,,,,,,
7502,,,,78150,87250,80500,R,105250,120000,130000,195000,185000,E,E,E,,,,,,,,,,,,,
7801,62050,52178,61073,61030,D,80150,,83550,114615,,,,,,,,,,,,,63718,60500,41800,58409,,,
7802,62050,52178,61073,61030,D,80150,,83550,114615,,,,,,,,,,,,,,,,58409,,,
7803,,,,61030,D,80150,,83550,114615,,,,,,,,,,,,,,,,,,,
7804,,,,,,80150,,83550,114615,,,,,,,,,,,,,,,,,,,
8601,2236,3160,D,E,E,E,E,E,E,E,E,E,E,E,E,4870,4956,4944,5208,5316,5544,5748,5976,6252,4578,4308,1688,5020
8901,64050,67500,D,D,76000,88000,D,98000,E,E,,,,E,E,,,,,17500,22000,24500,27500,31000,62000,,,
9101,,43160,42000,56000,63000,,88000,83000,71000,75000,65000,E,E,E,E,,,,,,,,,,,,,
9102,,,,56000,63000,,88000,83000,71000,75000,65000,67000,E,E,E,,,,,,,,,,,,,
9201,25790,63200,18605,25060,27000,20880,E,E,E,E,E,E,E,E,E,35000,1240,1623,4299,21499,24166,27570,24900,31500,30562,,,
9202,25790,63200,18605,25060,27000,20880,25240,27200,37000,30050,E,E,E,E,E,,,,,,,,,,30562,,,
9501,47000,66050,D,D,D,74000,34100,E,E,E,E,E,E,E,E,,,,D,42300,32000,36400,D,D,46000,,,
9502,47000,66050,D,D,D,74000,34100,36000,E,E,E,E,E,E,E,,,,,,32000,36400,D,D,46000,,,
9503,47000,66050,D,D,D,74000,34100,36000,38000,E,E,E,E,E,E,,,,,,,36400,D,D,46000,,,
9601,23106,23000,23000,23026,35050,E,E,E,E,E,E,E,E,E,E,250,2360,5300,9600,14000,15000,17310,20040,18050,22000,6550,,7000
9602,23106,23000,23000,23026,35050,38000,28000,38000,E,E,E,E,E,E,E,,,,,14000,15000,17310,20040,18050,22000,,,
9603,,,,,35050,38000,28000,38000,22500,46500,D,52000,D,E,E,,,,,,,,,,,,,
9701,60400,67340,69500,74600,79300,76400,84000,96952,E,E,E,E,E,E,E,,,,,,39143,45350,50450,62400,59500,,,
9702,60400,67340,69500,74600,79300,76400,84000,96952,103200,E,E,E,E,E,E,,,,,,,45350,50450,62400,59500,,,
9801,8357,8420,9072,16488,14804,15912,74796,17400,E,E,E,E,E,E,E,,,,,,14680,12300,11384,8536,11000,,,
9802,8357,8420,9072,16488,14804,15912,74796,17400,5640,7560,E,E,E,E,E,,,,,,,,,8536,11000,,,
9803,,,9072,16488,14804,15912,74796,17400,5640,7560,18240,16440,E,E,E,,,,,,,,,,,,,
9901,37000,43500,45500,1100,38396,42100,5000,10400,E,E,E,E,E,E,E,,,,,,D,31000,42000,36200,37500,,,
9902,37000,43500,45500,1100,38396,42100,5000,10400,12000,11000,36548,E,E,E,E,,,,,,,,,,,,,
10001,23480,50000,36000,37765,15120,49240,55240,E,E,E,E,E,E,E,E,,,,0,8259,6204,7148,14760,18500,61600,,,
10002,23480,50000,36000,37765,15120,49240,55240,60260,67672,67772,E,E,E,E,E,,,,,,,,,18500,61600,,,
10003,23480,50000,36000,37765,15120,49240,55240,60260,67672,67772,89936,E,E,E,E,,,,,,,,,,,,,
10201,45000,57000,R,R,R,,D,R,R,R,E,E,E,E,E,,,,,,,,,,20000,,,
11101,58625,D,D,66300,71000,E,E,E,E,E,E,E,E,E,E,30160,25990,20300,D,43200,24700,33400,42300,42600,52000,,,
11102,58625,D,D,66300,71000,92200,E,E,E,E,E,E,E,E,E,,25990,20300,D,43200,24700,33400,42300,42600,52000,,,
11103,58625,D,D,66300,71000,92200,100109,102000,E,E,E,E,E,E,E,,,,,,24700,33400,42300,42600,52000,,,
11201,35358,63005,79600,76000,78000,,E,E,E,E,E,E,E,E,E,D,18352,D,29000,46001,34500,46213,59470,50500,21100,,,
11202,,,,,78000,,26000,D,59901,D,29200,75200,65200,E,E,,,,,,,,,,,,,
11501,,,,,,,,,,,,,E,E,E,,,,,,,,,,,,,
11502,,,,,,,,,,,,,E,E,E,,,,,,,,,,,,,
11503,,,,,,,,,,,,,E,E,E,,,,,,,,,,,,,
11504,,,,,,,,,,,,,20000,E,E,,,,,,,,,,,,,
11801,38000,52900,56000,63500,73900,,,,,,,,,,,8722,14217,7400,9666,45000,,,17000,39540,43072,3500,,
11802,38000,52900,56000,63500,73900,,,,,,,,,,,,,,,,,,,39540,43072,,,
12101,30300,D,1750,110180,28200,D,D,D,D,50035,D,E,E,E,E,,,,,,,,,,,,,
12401,46060,50100,54600,73000,80000,D,120000,95050,1775,E,E,E,E,E,E,,,,,,,5200,280,200,13302,,,
12402,46060,50100,54600,73000,80000,D,120000,95050,1775,E,E,E,E,E,E,,,,,,,,280,200,13302,,,
12801,68642,74000,79000,,80747,100000,E,,E,E,E,E,E,E,E,D,32639,34600,38640,42100,47500,52000,54600,D,62350,,,
12802,68642,74000,79000,,80747,100000,D,,E,E,E,E,E,E,E,,,,,42100,47500,52000,54600,D,62350,,,
13301,49000,55000,43950,42000,45000,D,86000,82000,89500,82000,,E,E,E,E,,,,,,,,,,,,,
13701,76000,74000,88000,133250,244343,332808,164000,222000,231000,E,E,E,E,E,E,,,,,,,68000,64500,75760,96000,,,
13702,76000,74000,88000,133250,244343,332808,164000,222000,231000,248000,E,E,E,E,E,,,,,,,,,75760,96000,,,
13801,I,50000,56000,63000,60500,58800,89000,93000,108000,E,E,E,E,E,E,,,,,,,51000,54500,59200,54500,,,
13802,I,50000,56000,63000,60500,58800,89000,93000,108000,152800,E,E,E,E,E,,,,,,,,,59200,54500,,,
13803,,50000,56000,63000,60500,58800,89000,93000,108000,152800,124500,E,E,E,E,,,,,,,,,,,,,
14001,D,160097,D,D,D,D,390662,163000,190000,D,175900,E,E,E,E,,,,,,,,,,,,,
14301,71550,71030,77050,88300,107200,,,E,E,E,E,,,,,,,,31000,37000,,,,,50000,,,
14302,71550,71030,77050,88300,107200,,,113000,E,E,E,,,,,,,,,,,,,,50000,,,
14303,71550,71030,77050,88300,107200,,,113000,154500,131000,E,,,,,,,,,,,,,,50000,,,
14304,71550,71030,77050,88300,107200,,,113000,154500,131000,E,,,,,,,,,,,,,,50000,,,
14401,46500,D,28978,D,27440,34645,33720,41676,35000,,E,E,E,E,E,,,,,,,,,,,,,
14402,,,28978,D,27440,34645,33720,41676,35000,,440692,E,E,E,E,,,,,,,,,,,,,
14403,,,,D,27440,34645,33720,41676,35000,,440692,44025,E,E,E,,,,,,,,,,,,,
14701,38000,45050,43200,70000,66500,57600,58840,84000,E,E,E,E,E,E,E,,,,,,39500,40200,46500,51500,35200,,,
14702,38000,45050,43200,70000,66500,57600,58840,84000,72000,77200,E,E,E,E,E,,,,,,,,46500,51500,35200,,,
14901,46700,50000,74000,88800,97500,111200,87500,125800,160700,181800,E,E,E,E,E,,,,,,,,,56172,34000,,,
14902,,50000,74000,88800,97500,111200,87500,125800,160700,181800,169200,E,E,E,E,,,,,,,,,,,,,
15301,50000,43000,43000,66585,D,22100,19500,E,E,E,E,E,E,E,E,,,,14300,15657,18428,I,33200,54524,48000,,,
15302,50000,43000,43000,66585,D,22100,19500,E,E,E,E,E,E,E,E,,,,,15657,18428,I,33200,54524,48000,,,
15701,D,D,141600,,R,,136000,,,E,E,E,E,E,,,,,42043,39535,42100,49200,35500,42100,D,,,
15702,D,D,141600,,R,,136000,,,E,E,E,E,E,,,,,,,42100,49200,35500,42100,D,,,
15801,42000,48000,48000,60100,76000,90100,80000,E,E,E,,E,E,E,E,,,,30200,31240,30000,32000,36000,32000,35000,,,
15802,42000,48000,48000,60100,76000,90100,80000,85000,93100,E,,E,E,E,E,,,,,,,32000,36000,32000,35000,,,
15901,72300,78000,85400,96000,107100,165500,,,,,,,,,,,,,33650,43500,44800,54050,63200,64500,68000,,,
15902,72300,78000,85400,96000,107100,165500,,,,,,,,,,,,,,,44800,54050,63200,64500,68000,,,
15903,72300,78000,85400,96000,107100,165500,,,,,,,,,,,,,,,,,63200,64500,68000,,,
15904,72300,78000,85400,96000,107100,165500,,,,,,,,,,,,,,,,,,,,,,
15905,72300,78000,85400,96000,107100,165500,,,,,,,,,,,,,,,,,,,,,,
16001,59300,28000,34700,81800,80660,89200,59160,102700,114460,116460,E,E,E,E,E,,,,,,,,,70000,71450,,,
16101,,80450,80687,95360,93000,102868,96400,103000,90500,105000,139500,E,E,E,E,,,,,,,,,,,,,
16102,,,,95360,93000,102868,96400,103000,90500,105000,139500,152000,E,E,E,,,,,,,,,,,,,
16501,86200,71000,83600,87200,92000,86100,17200,85300,100200,E,E,E,E,E,E,,,,,,,72600,55050,63500,73600,,,
16502,86200,71000,83600,87200,92000,86100,17200,85300,100200,109000,122000,E,E,E,E,,,,,,,,,,73600,,,
16503,,,,,92000,86100,17200,85300,100200,109000,122000,168000,145000,E,E,,,,,,,,,,,,,
16701,34960,60270,20764,23400,24500,36728,R,,,,,,,,,,,,2500,324,50000,D,41512,48852,32264,,,
16702,34960,60270,20764,23400,24500,36728,R,,,,,,,,,,,,,,50000,D,41512,48852,32264,,,
17201,,6800,7000,2616,12549,3907,9624,9624,0,10404,11220,E,E,E,E,,,,,,,,,,,,,
17401,73383,78500,78000,83040,90912,100000,112000,E,E,E,E,E,E,E,E,,,,32100,31010,49500,63050,74000,60050,64000,,,
17402,73383,78500,78000,83040,90912,100000,112000,122050,147827,E,E,E,E,E,E,,,,,,,,74000,60050,64000,,,
17501,88320,66200,48465,48612,,,,,,E,E,E,E,E,E,D,70494,D,21865,D,,,D,D,37360,,,
17502,88320,66200,48465,48612,,,,,,E,E,E,E,E,E,,70494,D,21865,D,,,D,D,37360,,,
17503,88320,66200,48465,48612,,,,,,E,E,E,E,E,E,,,,,D,,,D,D,37360,,,
17504,88320,66200,48465,48612,,,,,,D,20000,E,E,E,E,,,,,,,,,,,,,
17901,60100,60900,71400,72600,D,E,E,E,E,E,E,E,E,E,E,24558,23950,24640,25500,D,28200,42100,36960,43200,45200,23680,,
17902,60100,60900,71400,72600,D,105400,E,E,E,E,E,E,E,E,E,,23950,24640,25500,D,28200,42100,36960,43200,45200,,,
18001,77500,70780,84400,E,E,E,E,E,,,,,E,E,E,75001,D,34800,36486,D,45000,58700,55800,49100,69400,31250,18698,22808
18002,77500,70780,84400,974100,120000,E,E,E,,,,,E,E,E,75001,D,34800,36486,D,45000,58700,55800,49100,69400,,,
18003,77500,70780,84400,974100,120000,89000,90000,E,,,,,E,E,E,,,34800,36486,D,45000,58700,55800,49100,69400,,,
18301,60000,60400,60300,D,D,105000,100000,E,E,E,E,,,,,,,50000,45100,43964,68200,55500,55000,48000,50000,,,
18302,60000,60400,60300,D,D,105000,100000,110000,E,E,E,,,,,,,,,,68200,55500,55000,48000,50000,,,
18303,60000,60400,60300,D,D,105000,100000,110000,110000,30500,E,,,,,,,,,,,,,48000,50000,,,
18401,,,,,,78400,200000,95000,95000,96700,135666,61000,D,28600,E,,,,,,,,,,,,,
18601,100000,160097,189918,128850,142000,178000,215000,D,175000,56000,E,E,E,E,E,,,,,,,,,I,91000,,,
18801,20573,44980,20112,23908,42732,67054,D,E,E,E,E,E,E,E,E,,,,,25000,D,30000,28000,25260,15500,,,
19001,,,57000,75000,9800,60000,108000,109000,135000,101500,D,157000,E,E,E,,,,,,,,,,,,,
19201,89100,89000,87000,102500,98000,D,105000,136000,D,454737,E,E,E,E,E,,,,,,,,,78900,89300,,,
19202,,,87000,102500,98000,D,105000,136000,D,454737,D,E,E,E,E,,,,,,,,,,,,,
19203,,,,,98000,D,105000,136000,D,454737,D,497763,D,E,E,,,,,,,,,,,,,
19701,52200,33050,29000,80000,31000,42000,25272,31500,26500,E,,E,E,E,E,,,,,,,,38300,69300,49000,,,
19702,52200,33050,29000,80000,31000,42000,25272,31500,26500,33000,,E,E,E,E,,,,,,,,,69300,49000,,,
20001,2500,5000,8175,26200,D,74000,E,E,E,E,E,E,E,E,E,15400,D,D,60000,D,47000,41000,55100,50000,2050,,,
20002,2500,5000,8175,26200,D,74000,62300,73000,E,E,E,E,E,E,E,,,,,,47000,41000,55100,50000,2050,,,
20301,32050,33200,42600,,,,,,,,,,,,,,,,,,,,,29071,D,,,
20302,32050,33200,42600,,,,,,,,,,,,,,,,,,,,,29071,D,,,
20401,9000,25000,E,E,E,E,,,,,E,E,E,E,E,,5236,,,,20496,10056,2965,6600,17000,,I,4812
20402,9000,25000,22536,29000,3384,47600,,,,,E,E,E,E,E,,,,,,20496,10056,2965,6600,17000,,,
20501,D,R,D,D,E,E,E,E,E,E,E,E,E,E,E,18000,D,D,R,D,D,R,R,R,D,I,11960,16900
20502,D,R,D,D,R,E,E,E,E,E,E,E,E,E,E,18000,D,D,R,D,D,R,R,R,D,I,,
20503,D,R,D,D,R,R,R,E,E,E,E,E,E,E,E,,,,,D,D,R,R,R,D,,,
20801,6600,17240,E,E,E,,,,,,,,,E,E,5160,7408,12500,19828,14964,,11444,0,D,5776,4740,7800,4500
21101,,,,99000,62000,49000,90000,86000,90250,101000,102000,47900,E,E,E,,,,,,,,,,,,,
21102,,,,,62000,49000,90000,86000,90250,101000,102000,47900,65150,E,E,,,,,,,,,,,,,
21103,,,,,,49000,90000,86000,90250,101000,102000,47900,65150,93000,E,,,,,,,,,,,,,
21104,,,,,,,90000,86000,90250,101000,102000,47900,65150,93000,110000,,,,,,,,,,,,,
22101,10920,D,15898,D,15000,13940,14135,E,E,E,E,E,E,E,E,,,,,D,24304,D,14708,I,D,,,
22102,10920,D,15898,D,15000,13940,14135,25854,E,E,E,E,E,E,E,,,,,,24304,D,14708,I,D,,,
22103,10920,D,15898,D,15000,13940,14135,25854,7200,E,E,E,E,E,E,,,,,,,D,14708,I,D,,,
22104,10920,D,15898,D,15000,13940,14135,25854,7200,28000,E,E,E,E,E,,,,,,,,,I,D,,,
22401,5880,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6000,D,D,,D,26948,D,17096,D,D,4052,8400,7828
22402,5880,11768,8858,E,E,E,E,E,E,E,E,E,E,E,E,6000,D,D,,D,26948,D,17096,D,D,4052,8400,7828
22403,5880,11768,8858,7500,E,E,E,E,E,E,E,E,E,E,E,6000,D,D,,D,26948,D,17096,D,D,4052,8400,7828
22701,7920,10092,E,E,E,E,E,E,E,E,E,E,E,E,E,5663,13920,D,D,I,9312,7384,D,13236,8460,4416,5184,5724
22702,7920,10092,8700,E,E,E,E,E,E,E,E,E,E,E,E,5663,13920,D,D,I,9312,7384,D,13236,8460,4416,5184,5724
22703,7920,10092,8700,12336,0,D,2588,E,E,E,E,E,E,E,E,,,,D,I,9312,7384,D,13236,8460,,,
22704,,10092,8700,12336,0,D,2588,25600,600,10300,30405,E,E,E,E,,,,,,,,,,,,,
22801,24160,23339,14904,8832,E,E,E,E,E,E,E,E,E,E,E,3000,2100,1000,708,75,3640,11184,11672,11120,23008,,8450,9640
22802,24160,23339,14904,8832,8148,4500,2472,E,E,E,E,E,E,E,E,,,,,75,3640,11184,11672,11120,23008,,,
22803,24160,23339,14904,8832,8148,4500,2472,12208,E,E,E,E,E,E,E,,,,,,3640,11184,11672,11120,23008,,,
22804,24160,23339,14904,8832,8148,4500,2472,12208,11440,E,E,E,E,E,E,,,,,,,,11672,11120,23008,,,
22901,D,D,6240,24100,17000,11000,33820,2700,14968,21448,E,E,E,E,E,,,,,,,,,,21500,,,
23101,839078,81100,D,90100,93100,80976,55700,63476,108900,115000,E,E,E,E,E,,,,,,,,D,94000,88050,,,
23102,839078,81100,D,90100,93100,80976,55700,63476,108900,115000,128484,E,E,E,E,,,,,,,,,,,,,
23601,60800,60200,56500,65600,I,76500,86000,96000,E,E,E,E,E,E,E,,,,,,,37500,36200,50300,53000,,,
23602,60800,60200,56500,65600,I,76500,86000,96000,85440,101840,E,E,E,E,E,,,,,,,,,50300,53000,,,
23603,,,56500,65600,I,76500,86000,96000,85440,101840,116000,120830,E,E,E,,,,,,,,,,,,,
23701,13420,13010,18940,26400,34800,E,E,E,E,E,E,E,E,E,E,D,D,D,D,21000,30000,18720,17500,9700,6580,27768,,
23901,5280,8862,12840,D,20398,E,E,E,E,E,E,E,E,E,,5160,4452,5160,6984,7728,6072,6336,2280,8472,7812,3170,,12000
23902,5280,8862,12840,D,20398,18344,E,E,E,E,E,E,E,E,,,4452,5160,6984,7728,6072,6336,2280,8472,7812,,,
23903,5280,8862,12840,D,20398,18344,21843,E,E,E,E,E,E,E,,,,5160,6984,7728,6072,6336,2280,8472,7812,,,
24001,59340,28501,32515,36000,41000,66000,78000,E,E,E,E,E,E,E,E,,,10910,13999,9145,6820,9920,30100,66000,65745,,,
24002,59340,28501,32515,36000,41000,66000,78000,93000,E,E,E,E,E,E,E,,,,,9145,6820,9920,30100,66000,65745,,,
24201,50200,53375,15000,107000,86400,D,102900,6122,E,E,E,E,E,E,E,,,,,55000,37700,49250,45000,45100,44092,,,
24401,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,13057,15286,18486,22640,31873,38638,7800,20500,D,74700,13172,7910,7484
24402,D,D,D,83899,E,E,E,E,E,E,E,E,E,E,E,13057,15286,18486,22640,31873,38638,7800,20500,D,74700,13172,7910,7484
24403,D,D,D,83899,79700,D,82700,69100,D,D,E,E,E,E,E,,,,,,,,,D,74700,,,
24501,42500,34270,44540,41000,42000,23140,56030,120040,75050,68400,61050,E,E,E,E,,,,,,,,,,48300,,,
24502,,,,41000,42000,23140,56030,120040,75050,68400,61050,58500,E,E,E,,,,,,,,,,,,,
24503,,,,,,23140,56030,120040,75050,68400,61050,58500,57500,54000,E,,,,,,,,,,,,,
24901,13500,29400,35900,35600,48600,E,E,E,E,E,E,E,E,E,E,9216,16344,9212,3858,6240,8640,10360,9808,12316,15200,1490,,
24902,13500,29400,35900,35600,48600,57400,62600,E,E,E,E,E,E,E,E,,,9212,3858,6240,8640,10360,9808,12316,15200,,,
24903,13500,29400,35900,35600,48600,57400,62600,60800,479983,69500,70800,E,E,E,E,,,,,,,,,,,,,
24904,,,,,,,62600,60800,479983,69500,70800,94300,60000,73000,80800,,,,,,,,,,,,,
25001,22700,32200,40500,35250,37000,39000,E,E,E,E,E,E,E,E,E,,,,,,,21200,27000,30400,26400,,,
25002,22700,32200,40500,35250,37000,39000,42000,E,E,E,E,E,E,E,E,,,,,,,21200,27000,30400,26400,,,
25201,45820,36000,46200,37200,43200,45800,E,E,E,E,E,E,E,E,E,,D,17580,6732,7516,6172,7516,8441,6082,44680,,,
25202,45820,36000,46200,37200,43200,45800,50200,51280,52000,54250,59000,E,E,E,E,,,,,,,,,,44680,,,
25401,25000,23000,25160,25000,44000,E,E,E,E,E,E,E,E,E,E,12766,12199,13285,5810,32000,16180,14878,15000,13300,26500,I,,
25402,25000,23000,25160,25000,44000,57050,E,E,E,E,E,E,E,E,E,12766,12199,13285,5810,32000,16180,14878,15000,13300,26500,,,
25403,25000,23000,25160,25000,44000,57050,29050,28361,33700,E,E,E,E,E,E,,,,,,,14878,15000,13300,26500,,,
25404,,23000,25160,25000,44000,57050,29050,28361,33700,40500,40000,E,E,E,E,,,,,,,,,,,,,
25405,,,25160,25000,44000,57050,29050,28361,33700,40500,40000,43000,E,E,E,,,,,,,,,,,,,
25501,53000,D,62000,73800,76950,90400,E,E,E,E,E,E,E,E,E,,18015,15532,22315,28065,83000,34250,88000,50660,52200,,,
25502,53000,D,62000,73800,76950,90400,80000,E,E,E,E,E,E,E,E,,,15532,22315,28065,83000,34250,88000,50660,52200,,,
25503,53000,D,62000,73800,76950,90400,80000,110000,E,E,E,E,E,E,E,,,,,28065,83000,34250,88000,50660,52200,,,
25504,53000,D,62000,73800,76950,90400,80000,110000,93000,113000,E,E,E,E,E,,,,,,,,,50660,52200,,,
25505,,,,,76950,90400,80000,110000,93000,113000,106387,96677,114259,E,E,,,,,,,,,,,,,
25601,25030,20200,D,34300,10000,E,E,E,E,E,E,E,E,E,E,7710,10633,11300,30300,32000,32000,43000,38600,13500,21000,9190,,7520
25602,,,,,,22500,38992,59096,43000,59796,D,10500,14762,D,4000,,,,,,,,,,,,,
25801,20574,16906,18462,14530,E,E,E,E,E,E,E,E,E,E,E,21300,D,16744,15171,19746,100001,35510,145,7410,15372,18420,,20939
25802,20574,16906,18462,14530,21860,E,E,E,E,E,E,E,E,E,E,21300,D,16744,15171,19746,100001,35510,145,7410,15372,18420,,
25803,20574,16906,18462,14530,21860,18320,13025,E,E,E,E,E,E,E,E,,,16744,15171,19746,100001,35510,145,7410,15372,,,
26201,60000,49000,48500,63500,58000,,,,,,,,,,,,,,34000,32000,29000,34500,,48800,50500,,,
