childid,mhhinco_1992,mhhinco_1993,mhhinco_1994,mhhinco_1996,mhhinco_1998,mhhinco_2000,mhhinco_2002,mhhinco_2004,mhhinco_2006,mhhinco_2008,mhhinco_2010,mhhinco_2012,mhhinco_2014,mhhinco_2016,mhhinco_2018,mhhinco_1982,mhhinco_1983,mhhinco_1984,mhhinco_1985,mhhinco_1986,mhhinco_1987,mhhinco_1988,mhhinco_1989,mhhinco_1990,mhhinco_1991,mhhinco_1981,mhhinco_1979,mhhinco_1980
934202,45696,45393,48538,54062,54062,32000,62000,64000,75000,99000,71338,E,E,E,E,,,,,,,,,,,,,
934401,I,6000,33600,50000,D,,50000,,,,,,,,E,,,,,,,2000,21284,44488,28930,,,
934402,I,6000,33600,50000,D,,50000,,,,,,,,E,,,,,,,2000,21284,44488,28930,,,
934601,3000,8400,E,E,E,E,E,E,E,E,E,E,E,E,E,5000,D,7394,6656,25000,D,3507,5832,4512,4800,4116,I,0
934701,26000,28000,E,E,E,E,E,E,E,E,E,E,E,E,,D,7774,15057,15758,16365,18080,18000,19859,20300,21025,3647,5957,I
934702,26000,28000,25000,28020,D,E,E,E,E,E,E,E,E,E,,D,7774,15057,15758,16365,18080,18000,19859,20300,21025,3647,,
934901,14400,21020,19910,E,E,E,E,E,E,E,E,E,E,E,E,0,D,D,6718,3720,D,,7356,6800,13001,,I,5244
934902,14400,21020,19910,12360,E,E,E,E,E,E,E,E,E,E,E,0,D,D,6718,3720,D,,7356,6800,13001,,I,5244
934903,14400,21020,19910,12360,0,50000,34000,48320,21000,E,E,E,E,E,E,,,,,,,,7356,6800,13001,,,
934904,14400,21020,19910,12360,0,50000,34000,48320,21000,27000,E,E,E,E,E,,,,,,,,7356,6800,13001,,,
935301,,,,,,,,,,,,,,,,,5800,11500,D,11460,10000,7000,7000,10000,,,,
935302,,,,,,,,,,,,,,,,,,,,11460,10000,7000,7000,10000,,,,
935401,15144,18192,23240,D,25000,E,E,E,E,E,E,E,E,E,E,5000,11000,7668,D,9234,18660,14228,12532,17960,19870,,,
935402,15144,18192,23240,D,25000,3763,38548,D,63600,94000,28000,E,E,E,E,,,,,,,,,,,,,
935403,,,23240,D,25000,3763,38548,D,63600,94000,28000,E,E,E,E,,,,,,,,,,,,,
935501,16000,D,D,E,E,E,E,E,E,E,E,E,E,E,E,2800,5515,1500,D,25000,25000,32000,26000,D,10000,1100,1200,1164
935901,70280,61500,66500,D,41000,0,17515,15000,16000,34000,37000,E,E,E,E,,,,,,,,,,,,,
935902,,,66500,D,41000,0,17515,15000,16000,34000,37000,E,E,E,E,,,,,,,,,,,,,
936001,,,,,D,117500,109000,142000,130000,D,145000,162000,181000,E,E,,,,,,,,,,,,,
